imputation_id;vaccine;sex;age_group;cov;var;imputation_method
7;Spikevax;M;70-79;2374451;1595555.291;multiple imputation
7;Spikevax;M;80+;1435524;1046827.337;multiple imputation
7;Vaxzevria;F;10-19;212733;179318.4587;multiple imputation
7;Vaxzevria;F;20-29;1757875;1512847.871;multiple imputation
7;Vaxzevria;F;30-39;2710202;2296933.486;multiple imputation
7;Vaxzevria;F;40-49;3774119;2934040.849;multiple imputation
7;Vaxzevria;F;50-59;4829765;3156062.245;multiple imputation
7;Vaxzevria;F;60-69;13114601;8023373.036;multiple imputation
7;Vaxzevria;F;70-79;5357774;3394535.867;multiple imputation
7;Vaxzevria;F;80+;1026250;676072.2952;multiple imputation
7;Vaxzevria;M;10-19;153810;139458.8468;multiple imputation
7;Vaxzevria;M;20-29;1088910;987677;multiple imputation
7;Vaxzevria;M;30-39;2127201;1854734.169;multiple imputation
7;Vaxzevria;M;40-49;2979890;2469191.556;multiple imputation
7;Vaxzevria;M;50-59;4314341;2924190.251;multiple imputation
7;Vaxzevria;M;60-69;13271116;8067954.624;multiple imputation
7;Vaxzevria;M;70-79;5044373;3247748.373;multiple imputation
7;Vaxzevria;M;80+;835853;649378.645;multiple imputation
8;Comirnaty;F;12-17;13778650;7057486.76;multiple imputation
8;Comirnaty;F;18-24;17203365;12009276.84;multiple imputation
8;Comirnaty;F;25-29;12800564;12017045.96;multiple imputation
8;Comirnaty;F;30-39;30406260;26044944;multiple imputation
8;Comirnaty;F;40-49;36785918;30375123.64;multiple imputation
8;Comirnaty;F;5-11;110894;108641.6936;multiple imputation
8;Comirnaty;F;50-59;37075357;24600777.65;multiple imputation
8;Comirnaty;F;60-69;25958614;17052786.11;multiple imputation
8;Comirnaty;F;70-79;28192501;18728561.95;multiple imputation
8;Comirnaty;F;80+;23837980;14547043.98;multiple imputation
8;Comirnaty;M;12-17;14275469;7070777.578;multiple imputation
8;Comirnaty;M;18-24;16383412;11690920.17;multiple imputation
8;Comirnaty;M;25-29;12990437;12185873.08;multiple imputation
8;Comirnaty;M;30-39;29612598;25494555.43;multiple imputation
8;Comirnaty;M;40-49;34733848;28870615.13;multiple imputation
8;Comirnaty;M;5-11;125886;125313.922;multiple imputation
8;Comirnaty;M;50-59;35710391;24038405.86;multiple imputation
8;Comirnaty;M;60-69;23510517;16347653.56;multiple imputation
8;Comirnaty;M;70-79;23634494;16798288.34;multiple imputation
8;Comirnaty;M;80+;13930790;10403751.66;multiple imputation
8;Spikevax;F;12-17;906902;477719.6334;multiple imputation
8;Spikevax;F;18-24;3155220;2072083.871;multiple imputation
8;Spikevax;F;25-29;2384643;2201810.114;multiple imputation
8;Spikevax;F;30-39;5356915;4475800.488;multiple imputation
8;Spikevax;F;40-49;5370419;4443919.453;multiple imputation
8;Spikevax;F;5-11;4611;4545.255269;multiple imputation
8;Spikevax;F;50-59;5398117;3527633.979;multiple imputation
8;Spikevax;F;60-69;3547809;2297828.858;multiple imputation
8;Spikevax;F;70-79;3091400;1965763.17;multiple imputation
8;Spikevax;F;80+;2218248;1248408.809;multiple imputation
8;Spikevax;M;12-17;1000775;479551.9487;multiple imputation
8;Spikevax;M;18-24;2995103;1983567.352;multiple imputation
8;Spikevax;M;25-29;2564586;2353392.718;multiple imputation
8;Spikevax;M;30-39;5170431;4319188.01;multiple imputation
8;Spikevax;M;40-49;4892941;4132728.886;multiple imputation
8;Spikevax;M;5-11;9488;9105.114285;multiple imputation
8;Spikevax;M;50-59;5638362;3657717.154;multiple imputation
8;Spikevax;M;60-69;3316017;2252566.221;multiple imputation
8;Spikevax;M;70-79;2475611;1679033.09;multiple imputation
8;Spikevax;M;80+;1489872;1087014.86;multiple imputation
8;Vaxzevria;F;10-19;218392;187608.9323;multiple imputation
8;Vaxzevria;F;20-29;1614082;1363664.952;multiple imputation
8;Vaxzevria;F;30-39;2630327;2254286.46;multiple imputation
8;Vaxzevria;F;40-49;3660025;2859377.18;multiple imputation
8;Vaxzevria;F;50-59;4687538;3005924.239;multiple imputation
